Country,1970.00,1971.00,1972.00,1973.00,1974.00,1975.00,1976.00,1977.00,1978.00,1979.00,1980.00,1981.00,1982.00,1983.00,1984.00,1985.00,1986.00,1987.00,1988.00,1989.00,1990.00,1991.00,1992.00,1993.00,1994.00,1995.00,1996.00,1997.00,1998.00,1999.00,2000.00,2001.00,2002.00,2003.00,2004.00,2005.00,2006.00,2007.00,2008.00,2009.00,2010.00,2011.00,2012.00
Afghanistan,158.76,161.71,137.02,144.85,175.63,188.55,199.55,226.58,250.01,278.94,276.30,268.35,272.18,277.69,283.48,288.13,294.84,261.00,241.92,298.00,308.72,264.83,251.57,175.57,128.27,184.03,169.66,158.57,149.36,136.09,171.49,169.60,193.00,213.51,232.61,266.36,293.17,393.94,398.36,453.75,566.17,664.41,682.78
Albania,1097.35,1100.22,1103.30,1106.70,1110.20,1114.37,1119.15,1123.13,1129.11,920.31,811.40,819.93,824.95,815.07,785.56,782.39,785.34,757.76,764.00,894.87,644.57,478.73,456.52,515.76,575.80,738.26,992.17,697.78,816.91,1032.24,1101.25,1237.25,1361.39,1758.27,2271.96,2552.63,2828.26,3379.74,4113.30,3835.97,3733.68,4029.58,3809.03
Algeria,351.70,356.05,463.69,580.49,811.60,926.17,1027.65,1181.36,1442.04,1762.09,2174.44,2206.76,2176.42,2275.28,2390.34,2538.44,2679.13,2661.59,2360.49,2168.76,2358.67,1735.36,1787.41,1809.88,1475.56,1434.95,1572.85,1587.62,1563.50,1555.19,1727.34,1716.35,1742.56,2056.27,2550.18,3038.74,3396.65,3851.45,4801.02,3785.95,4365.11,5257.50,5379.73
Andorra,4095.53,4424.15,5334.15,6757.96,7994.75,9066.57,9045.29,9803.65,11544.57,14949.45,15655.29,13118.89,12156.26,10147.90,9776.02,9833.83,13106.04,15955.48,18093.18,19183.06,23875.23,24702.55,25981.17,20880.37,20523.82,23348.16,24086.58,23299.69,24026.64,24470.17,21924.34,21975.06,23951.74,31238.27,36537.63,39274.70,42805.84,49412.76,50883.99,47041.65,43722.14,45023.09,41122.15
Angola,483.23,498.43,502.36,599.97,656.44,471.68,439.86,468.65,507.11,546.60,705.74,638.39,615.93,619.21,634.34,757.47,691.26,775.99,817.50,927.36,996.42,1142.20,1270.08,890.46,887.43,412.57,524.08,597.93,490.58,450.63,636.16,658.42,767.92,905.01,1237.75,1983.19,2440.63,3412.72,4596.27,3988.68,4220.80,5159.24,5586.21
Anguilla,611.01,712.64,834.30,937.09,1025.41,1114.13,1061.91,1181.55,1359.06,1567.52,1813.61,2107.24,2455.72,2855.69,3307.99,4048.59,5104.89,6088.51,7240.75,8569.74,9090.22,8984.84,9424.52,9960.09,10794.76,10599.64,10908.03,11928.79,13174.37,13670.95,13573.20,13594.69,13468.51,14193.33,16243.34,18124.57,21756.79,27027.74,26511.46,20680.87,19485.51,20981.85,20047.94
Antigua and Barbuda,568.77,681.12,921.44,1265.66,1335.73,1354.11,1117.04,1263.60,1424.78,1753.44,2099.65,2394.04,2683.38,3025.22,3479.72,4087.59,4935.60,5067.36,6125.95,7009.01,7237.42,7745.53,7908.97,8289.49,8875.03,8523.70,9088.92,9473.86,9861.11,10116.91,10094.76,9797.97,10027.86,10382.63,10993.37,12079.87,13599.91,15276.07,15786.36,13979.26,13017.31,12757.36,13207.16
Argentina,1307.87,1539.35,1398.70,1505.38,1701.77,1821.73,1895.50,2112.59,2155.54,2462.41,2685.44,2736.19,2768.56,2951.00,3076.08,2905.39,3437.81,3481.44,4001.19,2382.00,4332.68,5735.69,6824.97,6971.17,7491.29,7409.50,7720.09,8209.55,8283.12,7768.54,7705.21,7212.42,2711.89,3413.07,3997.24,4740.14,5495.59,6672.82,8278.75,7713.94,9170.79,11003.66,11610.22
Armenia,,,,,,,,,,,,,,,,,,,,,608.80,561.96,341.14,325.44,358.43,399.18,503.23,522.26,607.84,596.50,621.42,692.30,779.89,924.59,1182.10,1625.41,2126.09,3079.15,3916.74,2913.57,3124.78,3421.63,3351.27
Aruba,2990.43,3130.08,3274.30,3426.52,3592.13,3775.51,3981.10,4208.82,4452.36,4699.72,4940.53,5163.43,5369.80,5577.85,5816.57,6107.49,6472.50,7885.54,9765.11,11392.46,12307.51,13495.79,14046.50,14938.06,17342.47,16441.38,16586.19,17927.41,19081.57,19356.42,20619.57,20671.58,20433.65,20834.98,22566.63,23302.83,24015.42,25921.28,27549.35,24639.94,23529.53,25022.46,24852.16
Australia,3499.01,3831.10,4438.48,6323.31,7439.54,7843.79,8352.18,8184.03,9446.75,10343.29,11793.46,13556.43,12710.87,12571.07,13289.26,11505.80,11893.82,13929.09,17338.70,18991.62,18974.66,19039.00,18622.92,17935.49,20253.19,21664.67,23767.32,23562.48,20774.46,22448.34,21279.78,20037.11,22072.87,27941.07,33499.37,37027.08,39095.79,46289.18,48606.94,45736.31,57478.76,66873.06,67869.26
Austria,2031.53,2348.75,2888.29,3849.47,4577.02,5203.81,5582.32,6709.45,8096.08,9670.18,10749.25,9311.51,9341.42,9444.16,8892.51,9065.01,12923.96,16185.65,17348.63,17263.29,21480.76,22261.76,24761.15,23933.60,25377.79,29876.85,29302.04,25931.98,26635.42,26510.96,23948.17,23812.46,25649.01,31187.17,35569.97,37018.84,39258.07,45123.47,49648.15,45836.93,44951.59,49328.78,46604.44
Azerbaijan,,,,,,,,,,,,,,,,,,,,,902.36,913.12,712.04,550.98,445.59,396.15,404.54,500.18,556.88,569.24,649.52,696.44,753.17,869.33,1025.43,1546.75,2421.46,3768.41,5502.72,4928.90,5817.22,7166.88,7382.88
Bahamas,3355.87,3480.11,3506.12,3900.85,4086.94,4722.88,5036.01,5893.82,6627.66,7665.96,7503.53,8416.52,8290.61,7959.18,8444.95,9613.73,10585.54,11549.26,12666.25,14212.97,14435.55,13927.98,13657.74,13330.84,13809.92,14313.76,16040.21,17134.56,19006.02,20515.17,21250.65,21506.76,22514.99,22017.70,22005.05,23416.90,23733.81,24321.07,23674.13,21769.34,21557.01,21258.13,21623.92
Bahrain,1980.58,2060.85,2507.38,3420.30,4455.16,4442.24,6006.34,7071.05,7569.88,8518.15,10460.78,11360.14,11577.09,11546.81,11754.33,10670.97,8629.87,8465.25,8971.10,9308.96,9900.00,10199.87,10393.09,11101.80,11674.05,12038.60,12173.37,12249.84,11328.20,11830.64,13562.45,12846.19,13096.29,14344.63,16027.00,18155.97,19459.54,21049.01,23037.63,19250.92,20545.75,22466.64,23039.44
Bangladesh,105.37,93.01,101.39,108.95,128.17,131.99,144.08,147.87,184.33,207.41,228.68,225.75,200.04,198.81,226.94,229.27,235.44,260.45,274.00,290.11,295.48,308.43,307.84,310.99,323.56,356.24,366.66,371.59,377.53,388.37,387.34,380.29,388.47,418.81,446.75,454.04,469.47,528.22,606.41,671.72,743.83,793.40,822.23
Barbados,897.91,1004.03,1141.44,1383.48,1644.23,1923.20,2079.95,2360.19,2636.81,3190.59,4083.38,4477.78,4658.34,4922.03,5339.19,5562.00,6080.72,6668.50,7065.59,7784.54,7787.39,7702.32,7426.34,7816.17,8200.51,8597.08,9155.73,9647.93,10829.03,11320.52,11596.06,11540.24,11557.04,11979.22,12837.93,14285.66,15264.64,16227.19,15645.42,15758.26,15139.66,15304.25,16004.30
Belarus,,,,,,,,,,,,,,,,,,,,,1834.83,1871.53,1732.16,1639.34,1481.95,1358.72,1427.74,1392.98,1510.02,1209.64,1043.71,1245.42,1481.29,1821.88,2380.82,3125.81,3842.04,4723.42,6357.62,5165.84,5818.20,6320.86,6726.05
Belgium,2729.82,3039.22,3783.24,4844.93,5676.21,6641.10,7177.31,8344.12,10179.16,11674.03,12712.24,10486.44,9214.46,8717.96,8329.06,8613.31,11970.97,14882.41,16142.98,16300.05,20327.26,20771.54,23078.14,21997.46,23881.79,27999.00,27073.46,24472.28,25002.05,24847.19,22659.13,22569.55,24451.81,30012.42,34640.74,35910.50,37776.34,43043.33,47099.18,43576.91,43101.55,46728.47,43706.89
Belize,206.35,256.07,326.71,522.51,686.39,783.59,609.07,772.31,869.60,999.24,1350.67,1307.21,1183.18,1212.94,1315.31,1268.52,1344.17,1586.80,1760.14,1980.44,2161.80,2260.83,2401.31,2673.52,2729.21,2834.26,3019.66,2995.19,3060.65,3158.59,3487.52,3555.74,3704.04,3833.52,3991.27,4097.61,4363.92,4509.40,4665.75,4446.66,4529.90,4720.76,4795.49
Benin,102.53,106.46,128.20,153.47,161.01,191.20,198.61,211.96,250.62,297.20,369.60,340.11,322.51,270.79,252.46,243.90,302.56,343.67,345.70,310.60,368.89,366.27,392.84,383.36,259.83,362.48,382.29,356.58,375.02,369.24,339.47,348.33,378.66,464.05,511.29,532.61,557.23,633.00,739.26,712.55,689.58,746.19,751.91
Bermuda,5129.55,5752.82,6350.56,7200.18,8276.43,9059.20,10068.56,10855.59,11668.85,13484.40,16095.61,17498.52,19405.45,21483.20,22475.49,24704.76,27246.54,29617.11,31423.83,33093.64,34030.43,35147.54,35549.55,37667.49,38986.45,41636.40,43984.90,47307.97,50267.52,53149.93,55384.87,58313.00,62108.25,65762.79,70171.06,75902.14,84155.30,91379.08,94482.93,89588.01,88642.71,85381.31,85762.29
Bhutan,211.88,219.81,224.08,242.94,275.67,248.42,244.22,260.90,242.41,262.93,311.56,341.25,350.19,383.86,367.73,366.98,420.66,489.41,511.54,480.09,510.70,435.86,444.26,425.50,507.35,567.93,596.26,683.73,675.19,732.43,778.14,820.12,897.39,1009.08,1108.60,1258.99,1348.82,1760.60,1817.99,1795.14,2211.44,2523.68,2508.90
Bolivia,239.52,253.23,288.69,286.19,461.80,503.09,562.75,549.02,585.56,620.46,652.19,703.13,696.81,675.92,680.84,678.69,660.86,681.75,709.35,710.70,716.45,768.07,792.31,786.36,801.36,879.48,947.48,993.38,1042.61,995.51,988.53,939.15,893.95,896.37,954.89,1020.78,1203.25,1355.88,1695.56,1735.15,1934.68,2319.61,2575.68
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,1713.19,1398.28,1142.78,935.13,751.23,563.42,790.65,1070.13,1161.78,1249.00,1448.31,1495.00,1725.96,2181.56,2612.62,2821.58,3227.10,3976.06,4829.25,4461.01,4361.70,4751.67,4517.20
Botswana,96.36,123.05,154.97,221.28,296.93,333.12,347.43,430.74,493.21,618.83,854.53,942.01,796.70,835.75,846.13,707.03,914.62,1220.64,1372.01,2248.10,2688.96,2714.90,2777.46,2712.15,2757.04,2987.52,2990.62,3029.09,2831.01,3179.42,3297.48,3078.28,3006.59,4098.84,4829.52,5294.38,5341.40,5711.73,5746.98,5178.44,6980.36,7697.40,7191.43
Brazil,366.58,399.60,502.16,694.31,869.38,998.45,1152.81,1310.40,1453.18,1564.82,1569.94,1810.10,1872.44,1306.13,1316.00,1375.88,1620.82,1743.17,1910.98,2552.95,2687.21,2459.05,2318.30,2561.44,3598.40,4749.81,5107.80,5219.10,4979.15,3413.37,3694.62,3131.56,2820.84,3039.20,3607.04,4738.54,5789.77,7194.08,8622.71,8373.34,10978.09,12575.97,11346.80
British Virgin Islands,2022.83,1717.30,1765.26,1971.35,2330.40,2536.68,2747.44,2826.54,3262.68,4022.99,4923.20,5234.18,5951.34,6444.39,6779.79,6753.83,7021.25,7993.15,8590.89,9826.37,8893.70,8099.43,10151.07,13342.37,17000.72,21546.81,23839.86,27088.74,30467.40,33339.94,36380.37,38417.76,36527.56,32390.14,33123.17,37550.17,39345.08,40741.49,38575.21,33004.30,32839.88,33032.82,32375.21
Brunei Darussalam,1564.82,1649.86,2164.47,3315.71,7882.30,8236.05,9642.95,11299.49,12203.20,17015.76,28940.02,24854.16,23572.00,20661.01,19768.80,17906.21,10616.03,11853.74,10965.50,11955.32,13702.18,14002.07,15389.20,14681.57,14222.85,16047.65,16909.98,16768.54,12767.24,14174.16,18087.01,16515.85,16868.40,18541.80,21818.92,25913.62,30612.70,32108.19,37095.05,27211.93,30882.33,41059.99,41126.61
Bulgaria,1059.48,1041.02,1210.59,1435.44,1553.25,1364.49,1441.01,1468.51,1586.03,1056.94,1215.74,1390.76,1505.63,1614.83,1729.39,1828.83,1949.18,2130.91,2452.70,2473.02,2349.59,869.93,991.52,1263.17,1145.49,1563.64,1074.39,1226.07,1606.21,1641.18,1612.89,1747.79,2030.29,2647.39,3264.62,3760.70,4356.62,5568.47,6906.02,6522.66,6459.02,7301.71,7003.75
Burkina Faso,80.02,80.28,100.71,114.48,123.80,144.54,135.95,161.06,203.37,267.14,283.34,256.47,229.55,204.51,178.20,202.97,259.41,294.12,316.29,307.99,355.61,349.97,364.77,338.39,195.06,238.25,251.92,231.86,258.36,267.03,226.80,237.25,260.69,332.23,371.22,407.00,420.79,474.59,569.64,553.04,578.67,642.65,649.28
Burundi,69.23,70.20,67.72,83.14,93.20,110.02,119.09,138.47,152.72,192.37,224.76,228.41,233.85,240.57,212.14,239.20,243.71,221.89,201.10,202.49,199.74,197.98,180.15,158.70,170.90,157.46,134.93,149.28,135.47,120.68,103.84,94.65,87.23,80.12,88.47,143.77,158.33,162.84,186.90,200.83,225.77,240.64,229.20
Cambodia,108.21,105.71,101.90,85.44,87.34,94.46,101.54,94.92,105.17,102.14,106.34,115.28,119.11,124.56,130.34,135.57,139.34,169.23,197.69,198.63,187.44,239.73,246.22,241.52,256.58,307.30,316.19,302.17,267.86,293.70,299.98,320.05,337.50,360.66,405.94,471.16,536.66,628.43,742.58,735.41,782.62,878.38,944.41
Cameroon,170.82,186.62,234.48,310.08,322.30,411.80,436.33,496.14,634.66,820.42,992.91,904.59,880.87,891.85,852.34,812.62,963.84,1019.17,966.55,864.45,981.39,915.58,906.50,931.49,525.13,639.83,666.84,620.21,650.51,646.02,583.09,589.17,648.30,791.59,892.53,914.55,964.60,1069.86,1190.21,1163.01,1145.40,1256.71,1202.49
Canada,4091.78,4546.30,5095.89,5829.56,7013.28,7495.10,8797.06,8902.34,9088.59,10002.13,11152.45,12346.51,12531.38,13468.22,13855.47,14044.73,14350.72,16166.82,18800.90,20652.44,21405.46,21715.87,20816.65,20045.99,19867.47,20549.77,21191.01,21796.77,20950.11,22169.86,24088.37,23646.71,24054.76,28101.82,31910.25,36095.13,40194.90,44196.97,46226.11,40614.31,47297.10,51573.37,52283.33
Cabo Verde,264.83,289.74,317.40,380.36,372.77,428.81,400.02,378.78,442.07,479.03,536.40,521.05,515.85,496.20,462.38,473.42,646.48,792.27,881.98,881.55,995.37,1015.42,1105.13,1084.61,1194.32,1396.71,1404.54,1343.67,1403.59,1563.35,1386.09,1420.34,1538.12,1982.47,2219.69,2309.39,2614.35,3129.82,3692.00,3524.33,3413.26,3887.75,3849.84
Cayman Islands,2589.79,3094.32,3890.04,4770.98,5227.31,5856.92,6567.49,7370.64,8299.44,9398.49,10714.79,12302.21,14201.00,19182.82,20738.90,21541.95,22566.44,25033.41,28949.53,31420.71,37182.03,37040.30,37558.51,38587.81,39938.12,40929.63,41940.99,43032.57,53251.37,54735.27,54632.62,53934.76,54459.02,54893.03,56274.39,62558.11,64107.30,68309.47,67049.05,61485.15,58531.85,58813.84,58942.30
Central African Republic,144.23,150.68,169.01,195.23,198.63,261.79,305.22,335.56,394.44,441.46,488.85,424.42,387.31,330.85,308.02,329.72,418.10,438.21,452.53,432.71,494.61,462.27,462.80,409.19,265.94,340.50,300.81,273.81,276.53,280.00,251.35,251.57,263.16,297.61,326.20,340.91,365.50,413.48,474.39,464.51,456.56,498.78,482.67
Chad,130.29,139.05,141.14,152.83,173.97,245.90,226.22,224.44,266.24,302.99,254.03,197.48,174.33,168.89,177.40,170.40,203.72,224.26,253.78,232.25,270.87,260.50,262.98,222.28,174.63,206.97,223.84,206.71,227.56,191.03,166.89,198.32,221.80,292.41,456.79,586.49,608.28,655.31,757.34,666.55,760.97,865.09,818.06
Chile,997.91,1172.98,1244.18,1743.63,1662.63,761.59,1024.81,1369.90,1557.25,2067.39,2710.45,3201.04,2251.51,1827.57,1782.01,1545.90,1634.26,1876.44,2153.00,2413.12,2609.48,2928.16,3474.72,3623.18,4076.32,5135.67,5317.86,5730.00,5419.26,4920.74,5007.17,4511.82,4375.67,4760.08,6143.73,7532.01,9371.43,10383.49,10672.25,10120.04,12684.93,14512.60,15363.10
China,111.79,117.33,130.25,155.16,157.96,175.51,162.30,181.67,223.73,271.22,311.50,294.42,291.71,306.13,303.89,290.96,281.28,298.99,367.52,401.21,347.08,358.51,416.94,528.45,475.28,611.67,714.81,783.63,826.10,864.77,931.59,1022.78,1123.70,1266.89,1484.01,1735.15,2106.24,2626.32,3386.58,3778.33,4375.42,5345.10,6069.72
China: Hong Kong SAR,963.19,1113.75,1403.52,1936.09,2212.48,2307.09,2870.49,3392.69,3826.35,4568.93,5711.05,6027.73,6175.63,5652.25,6263.26,6593.01,7485.80,9096.58,10576.36,12020.45,13277.24,15191.59,17640.26,20161.80,22468.84,23541.76,25451.62,27579.35,25620.86,24621.61,25115.05,24577.17,24066.40,23366.76,24519.57,26327.04,28005.30,30512.57,31470.00,30548.01,32441.49,35049.80,36827.18
China: Macao SAR,656.55,776.16,947.97,1299.00,1506.42,1757.96,1762.64,2271.67,2983.37,3383.57,3986.07,4107.27,4203.32,3998.10,4431.92,4379.48,4704.38,5837.10,6594.57,7555.04,8823.73,9972.12,12821.26,14451.95,15846.92,17454.79,17443.43,17212.97,15729.31,14785.44,14894.23,14869.94,15778.65,17586.28,22371.60,25189.77,30363.51,36606.83,40847.03,40859.95,53045.99,67359.47,78275.06
Colombia,477.53,505.59,548.20,633.85,744.56,771.30,882.57,1094.88,1277.51,1500.28,1752.54,1867.04,1954.79,1900.55,1836.89,1639.89,1607.82,1639.18,1731.47,1711.36,1709.10,1716.59,1802.75,2047.98,2653.70,3015.60,3110.69,3355.68,3045.48,2622.67,2503.28,2421.47,2376.80,2260.25,2753.07,3393.99,3708.60,4661.21,5403.46,5104.99,6179.77,7144.33,7752.17
Comoros,84.58,91.62,105.77,138.14,152.25,229.53,218.70,233.01,290.61,373.98,393.83,352.69,320.63,324.46,304.21,315.34,435.75,513.19,528.33,493.49,590.55,580.35,614.35,593.86,408.57,497.74,482.67,433.20,428.96,432.17,382.16,406.14,451.71,568.76,619.11,644.27,653.95,734.82,805.70,786.91,776.62,900.30,858.32
Congo,196.34,217.91,253.91,328.19,384.60,439.79,442.99,429.21,518.36,684.49,949.55,1077.60,1133.98,1068.80,1085.76,1039.48,864.91,1045.32,979.47,1044.94,1174.32,1113.54,1167.77,1041.07,670.92,777.76,908.18,806.97,650.01,773.18,1029.97,871.67,919.69,1039.38,1347.87,1718.08,2120.10,1978.13,2625.08,2337.56,2986.83,3855.13,3403.96
Cook Islands,484.06,482.89,504.40,660.93,790.26,792.09,768.96,923.33,1110.22,1303.45,1467.69,1527.58,1529.07,1502.36,1550.24,1613.68,2079.84,2700.16,3331.45,3413.24,3831.92,4085.79,4185.61,4629.91,5452.04,5786.31,5854.30,5427.11,4779.87,5149.35,5140.36,5345.57,6073.68,8174.01,9358.03,9410.68,9557.04,11478.26,11662.59,10725.71,12652.99,14192.81,14917.73
Costa Rica,686.79,733.03,823.22,993.23,1057.52,1214.14,1455.99,1805.61,2014.83,2244.85,2614.02,1380.54,1333.65,1565.66,1771.41,1846.98,2018.17,2021.99,2004.60,2212.32,2356.32,2269.47,2651.44,2909.84,3111.03,3368.38,3320.92,3507.12,3759.31,4111.77,4058.09,4087.11,4114.60,4199.71,4379.15,4621.37,5128.40,5897.53,6582.79,6385.57,7773.19,8660.59,9387.02
Cï¿½te d'Ivoire,286.33,291.04,325.73,421.87,486.73,589.44,674.05,865.73,1043.94,1155.47,1231.08,977.11,840.34,728.56,700.14,686.91,868.64,923.04,906.08,914.90,981.60,920.27,929.11,833.82,602.52,781.08,829.61,779.29,818.90,794.91,662.16,681.63,740.45,905.19,965.59,982.23,978.10,1097.33,1274.96,1238.79,1207.83,1241.58,1230.17
Croatia,,,,,,,,,,,,,,,,,,,,,3411.39,2784.16,2522.43,2688.18,3621.98,4711.14,5022.61,5130.92,5543.37,5114.96,4808.25,5183.96,5992.85,7739.92,9319.56,10212.50,11386.09,13580.00,15959.74,14299.54,13576.51,14289.44,13104.61
Cuba,653.24,779.56,901.37,1088.44,1224.41,1380.26,1444.87,1474.64,1837.76,2003.29,2024.68,2038.21,2110.00,2226.12,2397.09,2270.12,2378.93,2451.27,2641.24,2572.87,2702.19,2275.93,2052.99,2066.92,2615.02,2783.43,2278.29,2300.95,2326.17,2555.07,2744.12,2835.08,2995.90,3192.40,3388.77,3776.47,4666.99,5185.38,5382.82,5499.12,5701.96,6164.52,6300.84
